Model_Name,Mean_MASE_Rank,Dataset,x,Input_Window_Size
Stacked GRU adagrad(IW+)  ,14,NN5,y,Large
Stacked GRU adam(IW+)     ,18,NN5,y,Large
Stacked GRU cocob(IW+)    ,7,NN5,y,Large
Stacked LSTM adagrad(IW+) ,12,NN5,y,Large
Stacked LSTM adam(IW+)    ,4,NN5,y,Large
Stacked LSTM cocob(IW+)   ,1,NN5,y,Large
Stacked RNN adagrad(IW+)  ,11,NN5,y,Large
Stacked RNN adam(IW+)     ,10,NN5,y,Large
Stacked RNN cocob(IW+)    ,13,NN5,y,Large
Stacked GRU adagrad,5,NN5,y,Small
Stacked GRU adam ,6,NN5,y,Small
Stacked GRU cocob ,9,NN5,y,Small
Stacked LSTM adagrad,8,NN5,y,Small
Stacked LSTM adam ,2,NN5,y,Small
Stacked LSTM cocob ,3,NN5,y,Small
Stacked RNN adagrad,17,NN5,y,Small
Stacked RNN adam  ,16,NN5,y,Small
Stacked RNN cocob,15,NN5,y,Small
Stacked GRU adagrad(IW+)  ,13,Wikipedia Web Traffic,y,Large
Stacked GRU adam(IW+)     ,6,Wikipedia Web Traffic,y,Large
Stacked GRU cocob(IW+)    ,7,Wikipedia Web Traffic,y,Large
Stacked LSTM adagrad(IW+) ,5,Wikipedia Web Traffic,y,Large
Stacked LSTM adam(IW+)    ,4,Wikipedia Web Traffic,y,Large
Stacked LSTM cocob(IW+)   ,8,Wikipedia Web Traffic,y,Large
Stacked RNN adagrad(IW+)  ,17,Wikipedia Web Traffic,y,Large
Stacked RNN adam(IW+)     ,15,Wikipedia Web Traffic,y,Large
Stacked RNN cocob(IW+)    ,18,Wikipedia Web Traffic,y,Large
Stacked GRU adagrad,16,Wikipedia Web Traffic,y,Small
Stacked GRU adam ,11,Wikipedia Web Traffic,y,Small
Stacked GRU cocob ,9,Wikipedia Web Traffic,y,Small
Stacked LSTM adagrad,12,Wikipedia Web Traffic,y,Small
Stacked LSTM adam ,14,Wikipedia Web Traffic,y,Small
Stacked LSTM cocob ,10,Wikipedia Web Traffic,y,Small
Stacked RNN adagrad,3,Wikipedia Web Traffic,y,Small
Stacked RNN adam  ,1,Wikipedia Web Traffic,y,Small
Stacked RNN cocob,2,Wikipedia Web Traffic,y,Small
