Model_Name,Mean_MASE_Rank,Dataset,Input_Window_Size,x
Stacked GRU adagrad(IW+)  ,10,NN5,Large,y
Stacked GRU adam(IW+)     ,1,NN5,Large,y
Stacked GRU cocob(IW+)    ,5,NN5,Large,y
Stacked LSTM adagrad(IW+) ,8,NN5,Large,y
Stacked LSTM adam(IW+)    ,3,NN5,Large,y
Stacked LSTM cocob(IW+)   ,4,NN5,Large,y
Stacked RNN adagrad(IW+)  ,7,NN5,Large,y
Stacked RNN adam(IW+)     ,2,NN5,Large,y
Stacked RNN cocob(IW+)    ,6,NN5,Large,y
Stacked GRU adagrad,16,NN5,Small,y
Stacked GRU adam ,12,NN5,Small,y
Stacked GRU cocob ,11,NN5,Small,y
Stacked LSTM adagrad,17,NN5,Small,y
Stacked LSTM adam ,15,NN5,Small,y
Stacked LSTM cocob ,18,NN5,Small,y
Stacked RNN adagrad,14,NN5,Small,y
Stacked RNN adam  ,9,NN5,Small,y
Stacked RNN cocob,13,NN5,Small,y
Stacked GRU adagrad(IW+)  ,10,Wikipedia Web Traffic,Large,y
Stacked GRU adam(IW+)     ,4,Wikipedia Web Traffic,Large,y
Stacked GRU cocob(IW+)    ,15,Wikipedia Web Traffic,Large,y
Stacked LSTM adagrad(IW+) ,6,Wikipedia Web Traffic,Large,y
Stacked LSTM adam(IW+)    ,9,Wikipedia Web Traffic,Large,y
Stacked LSTM cocob(IW+)   ,16,Wikipedia Web Traffic,Large,y
Stacked RNN adagrad(IW+)  ,7,Wikipedia Web Traffic,Large,y
Stacked RNN adam(IW+)     ,11,Wikipedia Web Traffic,Large,y
Stacked RNN cocob(IW+)    ,5,Wikipedia Web Traffic,Large,y
Stacked GRU adagrad,2,Wikipedia Web Traffic,Small,y
Stacked GRU adam ,3,Wikipedia Web Traffic,Small,y
Stacked GRU cocob ,18,Wikipedia Web Traffic,Small,y
Stacked LSTM adagrad,8,Wikipedia Web Traffic,Small,y
Stacked LSTM adam ,17,Wikipedia Web Traffic,Small,y
Stacked LSTM cocob ,12,Wikipedia Web Traffic,Small,y
Stacked RNN adagrad,14,Wikipedia Web Traffic,Small,y
Stacked RNN adam  ,1,Wikipedia Web Traffic,Small,y
Stacked RNN cocob,13,Wikipedia Web Traffic,Small,y
